n_actions,x1,x2,x3,x4,rew
9,-0.021625247856857186,-0.2592623705830461,-0.014046844851022224,0.302123438289408,1.0

9,-0.026810495268518107,-0.5517409000515774,-0.008004376085234063,0.7366683140779844,1.0

9,-0.03784531326954965,-0.7711415148949935,0.006728990196325625,1.0634054322053983,1.0

9,-0.05326814356744952,-1.0639125487054382,0.02799709884043359,1.5045303487942234,1.0

9,-0.07454639454155829,-1.3569181637161223,0.05808770581631806,1.9520966027478213,1.0

9,-0.10168475781588074,-1.5769914423424072,0.09712963787127449,2.2987179350721147,1.0

9,-0.13322458666272888,-1.870356792222473,0.14310399657271677,2.7652030822967624,1.0

9,-0.17063172250717834,-2.163563876462825,0.19840805821865204,3.2424471249225144,1.0

9,-0.21390300003643484,-2.3832013001205956,0.26325700071710234,3.62338986809216,0.0

9,-0.04258497968991633,-0.21845968155239262,0.00570177958594811,0.31946076107896526,1.0

9,-0.04695417332096418,-0.43805255670268284,0.012090994807527415,0.6505210336631175,1.0

9,-0.05571522445501784,-0.7309007450307892,0.025101415480789764,1.0933158733267745,1.0

9,-0.07033323935563363,-1.0239007363896562,0.04696773294732526,1.5400564485217323,1.0

9,-0.09081125408342675,-1.243941396316362,0.0777688619177599,1.8835568905402262,1.0

9,-0.11569008200975399,-1.4641982372716225,0.11543999972856443,2.2357845764892734,1.0

9,-0.14497404675518644,-1.7576754423046046,0.16015569125834989,2.706934424097987,1.0

9,-0.18012755560127852,-1.977895609075189,0.21429437974030963,3.079922002721089,0.0

9,-0.024850975258034626,-0.22849694379729285,-0.03318403447509234,0.27510713975806717,1.0

9,-0.029420914133980482,-0.5206832280760816,-0.027681891679930997,0.7033909603226398,1.0

9,-0.03983457869550212,-0.8129663348896987,-0.0136140724734782,1.133510214890731,1.0

9,-0.05609390539329609,-1.1054671383810069,0.009056131824336419,1.5682183473621145,1.0

9,-0.07820324816091623,-1.3250861583774065,0.04042049877157871,1.9002958350147416,1.0

9,-0.10470497132846436,-1.618170760054416,0.07842641547187354,2.3514440424906855,1.0

9,-0.13706838652955267,-1.9114194913554967,0.12545529632168725,2.812998805277145,1.0

9,-0.1752967763566626,-2.1314939891465317,0.18171527242723015,3.1773033184034016,0.0

